,fact_stress_calidad_lag_lag_2m,fact_stress_calidad_lag_roll_3m,fact_dias_retraso_pago_roll_3m,red_cobertura_5g_pct_lag_2m,fact_stress_calidad_lag_lag_1m,fact_importe_total_roll_3m,fact_impago_flag_roll_3m,red_cobertura_5g_pct_roll_3m,fact_dias_retraso_pago_lag_2m,red_cobertura_5g_pct_lag_3m,soporte_satisfaccion_min_roll_3m,fact_descuento_aplicado_roll_3m,soporte_satisfaccion_media_roll_3m,fact_dias_retraso_pago_lag_1m,soporte_impago_mes_roll_3m,fact_dias_retraso_pago,red_cobertura_4g_pct_roll_3m,fact_cargo_base_lag_1m,red_cobertura_4g_pct_lag_1m,soporte_satisfaccion_min,red_cobertura_4g_pct_lag_3m,fact_descuento_aplicado_lag_2m,soporte_dias_retraso_media_roll_3m,red_indice_calidad_global_roll_3m,red_incidencia_masiva_lag_3m,red_incidencia_masiva_lag_2m,red_tasa_cortes_pct_roll_3m,soporte_duracion_max_roll_3m,fact_num_lineas,fact_stress_calidad_lag,soporte_duracion_media_roll_3m,soporte_satisfaccion_media,red_tasa_cortes_pct_lag_3m,fact_impago_flag_lag_2m
fact_stress_calidad_lag_lag_2m,1.0,0.9164025010398089,0.04033338504916133,-0.702221616539567,0.8028975444359002,-0.3165962479604987,0.030437575335564362,-0.7027444402221882,0.026840153570031628,-0.9005064789903127,-0.2146450241826985,-0.11313698911773587,-0.14831917928869787,0.020109503914728058,0.034832643869528085,0.022964254163810666,-0.7449474220228358,-0.3064165862284545,-0.7440229939363336,-0.13114257333316764,-0.8509484198473714,-0.11008850867183209,-0.00596454452466391,-0.7993904922400067,0.042698487758639186,0.015666501735572592,0.7566493512370387,0.0832833554679735,-0.27935838959297293,0.8048782155909553,0.001148800841646779,-0.08892416896414765,0.8153747683754998,0.019448868061960833
fact_stress_calidad_lag_roll_3m,0.9164025010398089,1.0,0.045070853702249704,-0.874126848240049,0.9340943041811273,-0.31145529975872344,0.03358761918075304,-0.6427608292488725,0.025671862897251548,-0.9069046280755232,-0.24664974944822243,-0.11148587121334776,-0.1736475494310463,0.02627254252749219,0.04357720105371025,0.026633822185476632,-0.7391533262283038,-0.34323596783200677,-0.8326420045083424,-0.15958589380224314,-0.8547638356519425,-0.1268305544964276,-0.0191944635639199,-0.7640987591425078,0.028968536488102548,0.03003606623221031,0.7630493985337315,0.09201387382674182,-0.27722748503389316,0.9387829189272435,0.0018360429820802214,-0.11141233473964159,0.8125682243023216,0.0183090100050786
fact_dias_retraso_pago_roll_3m,0.04033338504916133,0.045070853702249704,1.0,-0.03994578234788427,0.04006996330889525,-0.017510225238107552,0.43112767753990255,-0.033329898377150974,0.5780758418117266,-0.04151503252114776,-0.05067364445241265,-0.007503932761461523,0.0048496411714404105,0.5761119761182404,0.3043015981343879,0.5993329502116271,-0.03709910100636,-0.017582010399341916,-0.03844037888301677,-0.04363827142510697,-0.040676675550587314,-0.007204556948161547,0.39004448705761413,-0.03884316872292425,0.003700078731292999,0.004660999583720907,0.03914190857612241,0.06117339612748728,-0.006546566997855636,0.043910747293220295,0.0021698556710956465,0.0009517901286456769,0.038617689302702485,0.25007747506061856
red_cobertura_5g_pct_lag_2m,-0.702221616539567,-0.874126848240049,-0.03994578234788427,1.0,-0.9031121871775482,0.2834898884762921,-0.03180241079154754,0.9943685497030038,-0.020512666642043573,0.9835070085658218,0.23563363784142094,0.103680820042981,0.16566713430703012,-0.02457030484472345,-0.05043220180077033,-0.024149287609026047,0.6134392565278621,0.27523385829571634,0.6125125833496216,0.15406968876564128,0.6237401215329046,0.1009666748146017,0.0045332241317799565,0.9175210501998633,0.006970503140711188,0.0023720677518928946,-0.6852236649818756,-0.08857131027570195,0.2535171347243988,-0.9020529826416728,-0.003130936811906724,0.10867997599832144,-0.6397606612444886,-0.015520291171345938
fact_stress_calidad_lag_lag_1m,0.8028975444359002,0.9340943041811273,0.04006996330889525,-0.9031121871775482,1.0,-0.3157941909724153,0.030227697218752875,-0.7148765542250111,0.022812912220545302,-0.900342386522288,-0.2106234077635909,-0.11331975233019743,-0.14627559297205064,0.027844463542069854,0.03220874094763264,0.02142628370623746,-0.7463976272035376,-0.30706916200487383,-0.7457213388323161,-0.13341037847933737,-0.8490164761892952,-0.12629675941666654,-0.00700031626733632,-0.8151603753531339,0.027006643676414064,0.04333190596067815,0.7619430318144383,0.07934470806143688,-0.27937203015102074,0.8112355164358609,0.00045119305520597143,-0.09218277540580633,0.8069188481322551,0.015778492547303055
fact_importe_total_roll_3m,-0.3165962479604987,-0.31145529975872344,-0.017510225238107552,0.2834898884762921,-0.3157941909724153,1.0,-0.02095034048956339,0.27828609707398794,-0.010181389195946237,0.28646431836009995,0.09525443353028094,0.23145553749866674,0.0541964088927649,-0.010212174072832638,-0.026204376766327024,-0.010972041988316616,0.3701184225891339,0.985496266622517,0.3697469187388635,0.06426671384432854,0.37144758221768376,0.22641331288388192,0.0026127563667243487,0.3521640285753067,0.006810508967857961,0.009155690499367044,-0.31327466500394924,-0.04541462041935557,0.702501865535992,-0.31619378449307595,-0.0011592536817923342,0.03754822166636483,-0.30843177100036984,-0.01182429970333983
fact_impago_flag_roll_3m,0.030437575335564362,0.03358761918075304,0.43112767753990255,-0.03180241079154754,0.030227697218752875,-0.02095034048956339,1.0,-0.026198785696361512,0.2484221329704324,-0.032956308218141044,-0.09333241407597206,-0.01172991075535535,0.023062091524895526,0.25241963185706434,0.6856462365642388,0.25972174230850203,-0.025273831386001634,-0.022446627316982003,-0.026550407395707607,-0.08327898151223649,-0.027954252901723046,-0.011624582022693794,0.7578283111069472,-0.0289776262169902,-0.00013351903038488614,0.0014513044243802406,0.025918959581500523,0.1245294815512103,-0.0022022200748807643,0.032935568831117534,-0.0007715925470452847,0.013487634077487688,0.025801798521157996,0.5724844883616329
red_cobertura_5g_pct_roll_3m,-0.7027444402221882,-0.6427608292488725,-0.033329898377150974,0.9943685497030038,-0.7148765542250111,0.27828609707398794,-0.026198785696361512,1.0,-0.020514103564967454,0.987982095674381,0.21657160670810222,0.10188489215598617,0.1507731847424453,-0.021802813108984857,-0.0470814936415018,-0.02248940124144203,0.5975356833777502,0.2749916184577402,0.6095556904021583,0.14926135992319503,0.6363600201513353,0.1031236986824402,-0.0034587922283343987,0.9206967205845937,0.008644876026019179,0.004326952880337714,-0.6508539678457697,-0.08359212237715594,0.24722787049815229,-0.7282962791107122,-0.0045882761866682924,0.10461200131393862,-0.648583283162823,-0.015488830804903988
fact_dias_retraso_pago_lag_2m,0.026840153570031628,0.025671862897251548,0.5780758418117266,-0.020512666642043573,0.022812912220545302,-0.010181389195946237,0.2484221329704324,-0.020514103564967454,1.0,-0.023490672026945592,-0.028276840280529673,-0.004474671069623958,-0.0010383755531274675,0.000560273966555426,0.11958370468530555,0.0014252577566130139,-0.02156254076601804,-0.009993287406207287,-0.021468112375624862,-0.004273289609579296,-0.022026092258252025,-0.004787588672755467,0.18646072612926473,-0.023068595720753954,0.0064671011935743625,0.0011650584974582947,0.022420332981488066,0.03458773046201496,-0.0038943399034421307,0.023488905612031402,0.004947919803162872,-0.00333222561982088,0.02237036918005986,0.43217481896716325
red_cobertura_5g_pct_lag_3m,-0.9005064789903127,-0.9069046280755232,-0.04151503252114776,0.9835070085658218,-0.900342386522288,0.28646431836009995,-0.032956308218141044,0.987982095674381,-0.023490672026945592,1.0,0.24155452567830854,0.10453491169990013,0.1702026584476529,-0.023347558382402794,-0.048950829951895015,-0.02510458174608707,0.6201996291373936,0.2778663774828012,0.6194181331752878,0.15376387611880896,0.6160437734604703,0.10183813627636903,0.0069752797986013864,0.9163655876366698,0.005116208132741469,0.0038432749448252725,-0.7022238829969154,-0.09075216903693381,0.25653336023108164,-0.9020126637074793,-0.002863130852465023,0.1082070496633676,-0.6376344471848191,-0.017848619738940263
